Cell Name;Cell_ID;BSC;Longitude_Sector;Latitude_Sector;CoverageType;Sector;SiteID;Market;Azimuth;HorizBeamwidth;VertBeamwidth;Technology;LAC;mcc;mnc;RF_Solution;expected_cell_range;antenna_id

ARI_0002_C01_309_1;7531;TN2BSC1;10.11469695;36.8782739;outdoor;1;753;;10;;;2G;10014;605;1;macro;28951;1
ARI_0002_C01_309_2;7532;TN2BSC1;10.11469695;36.8782739;outdoor;2;753;;170;;;2G;10014;605;1;macro;716;1
ARI_0002_C01_309_3;7533;TN2BSC1;10.11469695;36.8782739;outdoor;3;753;;270;;;2G;10014;605;1;macro;722;1
ARI_0003_C01_309_1;7541;TN2BSC1;10.16641;36.89404;outdoor;1;754;;160;;;2G;10016;605;1;macro;630;1
ARI_0003_C01_309_2;7542;TN2BSC1;10.16641;36.89404;outdoor;2;754;;250;;;2G;10016;605;1;macro;550;1
ARI_0003_C01_309_3;7543;TN2BSC1;10.16641;36.89404;outdoor;3;754;;340;;;2G;10016;605;1;macro;712;1
ARI_0003_C01_309_4;10001;TN2BSC1;10.16641;36.89404;outdoor;4;754;;70;;;2G;10016;605;1;macro;2915;1
ARI_0004_C01_309_1;7551;TN1BSC1;10.18013889;36.91927778;outdoor;1;755;;0;;;2G;10003;605;1;macro;25263;1
ARI_0004_C01_309_2;7552;TN1BSC1;10.18013889;36.91927778;outdoor;2;755;;90;;;2G;10003;605;1;macro;2981;1
ARI_0004_C01_309_3;7553;TN1BSC1;10.18013889;36.91927778;outdoor;3;755;;180;;;2G;10003;605;1;macro;1225;1
ARI_0005_C02_309_1;7561;TN1BSC1;10.21615556;36.88750278;outdoor;1;756;;30;;;2G;10003;605;1;macro;685;1
ARI_0005_C02_309_2;7562;TN1BSC1;10.21615556;36.88750278;outdoor;2;756;;150;;;2G;10003;605;1;macro;620;1
ARI_0005_C02_309_3;7563;TN1BSC1;10.21615556;36.88750278;outdoor;3;756;;270;;;2G;10003;605;1;macro;1458;1
ARI_0005_C02_309_4;14821;TN1BSC1;10.21615556;36.88750278;outdoor;4;756;;310;;;2G;10003;605;1;macro;6248;1
ARI_0006_C03_309_1;7571;TN2BSC1;10.09375;36.84730556;outdoor;1;757;;30;;;2G;10019;605;1;macro;910;1
ARI_0006_C03_309_2;7572;TN2BSC1;10.09375;36.84730556;outdoor;2;757;;150;;;2G;10019;605;1;macro;5842;1
ARI_0006_C03_309_3;7573;TN2BSC1;10.09375;36.84730556;outdoor;3;757;;230;;;2G;10019;605;1;macro;15542;1
ARI_0007_C01_309_1;7581;TN1BSC1;10.19336111;36.95344167;outdoor;1;758;;70;;;2G;10003;605;1;macro;25642;1
ARI_0007_C01_309_2;7582;TN1BSC1;10.19336111;36.95344167;outdoor;2;758;;200;;;2G;10003;605;1;macro;14653;1
ARI_0007_C01_309_3;7583;TN1BSC1;10.19336111;36.95344167;outdoor;3;758;;300;;;2G;10003;605;1;macro;34554;1
ARI_0008_C01_309_1;7591;TN2BSC1;10.12319444;36.89705556;outdoor;1;759;;15;;;2G;10014;605;1;macro;25758;1
ARI_0008_C01_309_2;7592;TN2BSC1;10.12319444;36.89705556;outdoor;2;759;;150;;;2G;10014;605;1;macro;1933;1
ARI_0008_C01_309_3;7593;TN2BSC1;10.12319444;36.89705556;outdoor;3;759;;310;;;2G;10014;605;1;macro;31346;1
ARI_0008_C01_309_4;24011;TN2BSC1;10.12319444;36.89705556;outdoor;4;759;;225;;;2G;10014;605;1;macro;-;1
ARI_0009_C02_309_1;7601;TN2BSC1;10.09066667;36.836;outdoor;1;760;;90;;;2G;10019;605;1;macro;465;1
ARI_0009_C02_309_2;7602;TN2BSC1;10.09066667;36.836;outdoor;2;760;;190;;;2G;10019;605;1;macro;760;1
ARI_0009_C02_309_3;7603;TN2BSC1;10.09066667;36.836;outdoor;3;760;;340;;;2G;10019;605;1;macro;4292;1
ARI_0010_C02_309_1;7611;TN2BSC1;10.20375;36.85619444;outdoor;1;761;;80;;;2G;10016;605;1;macro;784;1
ARI_0010_C02_309_2;7612;TN2BSC1;10.20375;36.85619444;outdoor;2;761;;225;;;2G;10016;605;1;macro;430;1
ARI_0010_C02_309_3;7613;TN2BSC1;10.20375;36.85619444;outdoor;3;761;;330;;;2G;10016;605;1;macro;494;1
ARI_0012_C01_309_1;7631;TN2BSC1;10.18427778;36.85244444;outdoor;1;763;;110;;;2G;10012;605;1;macro;1015;1
ARI_0012_C01_309_2;7632;TN2BSC1;10.18427778;36.85244444;outdoor;2;763;;210;;;2G;10012;605;1;macro;491;1
ARI_0012_C01_309_3;7633;TN2BSC1;10.18427778;36.85244444;outdoor;3;763;;340;;;2G;10012;605;1;macro;415;1
ARI_0013_C01_309_1;7641;TN2BSC1;10.19001;36.85771;outdoor;1;764;;80;;;2G;10016;605;1;macro;870;1
ARI_0013_C01_309_2;7642;TN2BSC1;10.19001;36.85771;outdoor;2;764;;170;;;2G;10016;605;1;macro;968;1
ARI_0013_C01_309_3;7643;TN2BSC1;10.19001;36.85771;outdoor;3;764;;270;;;2G;10016;605;1;macro;663;1
ARI_0013_C01_309_4;9951;TN2BSC1;10.19001;36.85771;outdoor;4;764;;0;;;2G;10016;605;1;macro;601;1
ARI_0015_C01_309_1;7661;TN1BSC1;10.23099722;36.87586111;outdoor;1;766;;80;;;2G;10003;605;1;macro;878;1
ARI_0015_C01_309_2;7662;TN1BSC1;10.23099722;36.87586111;outdoor;2;766;;240;;;2G;10003;605;1;macro;470;1
ARI_0015_C01_309_3;7663;TN1BSC1;10.23099722;36.87586111;outdoor;3;766;;330;;;2G;10003;605;1;macro;636;1
ARI_0016_C04_309_1;7671;TN1BSC1;10.206861;36.88356;outdoor;1;767;;50;;;2G;10003;605;1;macro;1556;1
ARI_0016_C04_309_2;7672;TN1BSC1;10.206861;36.88356;outdoor;2;767;;180;;;2G;10003;605;1;macro;23839;1
ARI_0016_C04_309_3;7673;TN1BSC1;10.206861;36.88356;outdoor;3;767;;280;;;2G;10003;605;1;macro;1015;1
ARI_0017_C04_309_1;7681;TN1BSC1;10.25813889;36.86572222;outdoor;1;768;;30;;;2G;10003;605;1;macro;1092;1
ARI_0017_C04_309_2;7682;TN1BSC1;10.25813889;36.86572222;outdoor;2;768;;150;;;2G;10003;605;1;macro;407;1
