CellName;Cell_ID;Longitude_Sector;Latitude_Sector;CoverageType;SiteID;Azimuth;HorizBeamwidth;VertBeamwidth;Technology;LAC;eNodeBID;mcc;mnc;Downtilt;Electrical_DownTilt;BSC_ID;RF_Solution;expected_cell_range;Antenna_id
ARI_0002_C01_309_h1;4;10.11469695;36.8782739;outdoor;753;10;;;4G;10014;753;605;1;;;;macro;28951;1
ARI_0002_C01_309_h2;5;10.11469695;36.8782739;outdoor;753;170;;;4G;10014;753;605;1;;;;macro;716;1
ARI_0002_C01_309_h3;6;10.11469695;36.8782739;outdoor;753;270;;;4G;10014;753;605;1;;;;macro;722;1
ARI_0002_C01_309_j1;104;10.11469695;36.8782739;outdoor;753;10;;;4G;10014;753;605;1;;;;macro;2524;1
ARI_0002_C01_309_j2;105;10.11469695;36.8782739;outdoor;753;170;;;4G;10014;753;605;1;;;;macro;581;1
ARI_0002_C01_309_j3;106;10.11469695;36.8782739;outdoor;753;270;;;4G;10014;753;605;1;;;;macro;574;1
ARI_0003_C01_309_f1;1;10.16641;36.89404;outdoor;754;160;;;4G;10016;754;605;1;;;;macro;630;1
ARI_0003_C01_309_f2;2;10.16641;36.89404;outdoor;754;250;;;4G;10016;754;605;1;;;;macro;357;1
ARI_0003_C01_309_f4;11;10.16641;36.89404;outdoor;754;70;;;4G;10016;754;605;1;;;;macro;763;1
ARI_0003_C01_309_h1;4;10.16641;36.89404;outdoor;754;160;;;4G;10016;754;605;1;;;;macro;630;1
ARI_0003_C01_309_h2;5;10.16641;36.89404;outdoor;754;250;; ;4G;10016;754;605;1;;;;macro;550;1
ARI_0003_C01_309_h3;6;10.16641;36.89404;outdoor;754;340;;;4G;10016;754;605;1;;;;macro;712;1
ARI_0003_C01_309_h4;14;10.16641;36.89404;outdoor;754;70;;;4G;10016;754;605;1;;;;macro;2915;1
ARI_0003_C01_309_j1;104;10.16641;36.89404;outdoor;754;160;;;4G;10016;754;605;1;;;;macro;630;1
ARI_0003_C01_309_j2;105;10.16641;36.89404;outdoor;754;250;;;4G;10016;754;605;1;;;;macro;550;1
ARI_0003_C01_309_j4;114;10.16641;36.89404;outdoor;754;70;;;4G;10016;754;605;1;;;;macro;2915;1
ARI_0004_C01_309_f1;1;10.18013889;36.91927778;outdoor;755;0;;;4G;10003;755;605;1;;;;macro;25263;1
ARI_0004_C01_309_f2;2;10.18013889;36.91927778;outdoor;755;90;;;4G;10003;755;605;1;;;;macro;2981;1
ARI_0004_C01_309_f3;3;10.18013889;36.91927778;outdoor;755;180;;;4G;10003;755;605;1;;;;macro;1225;1
ARI_0004_C01_309_h1;4;10.18013889;36.91927778;outdoor;755;0;;;4G;10003;755;605;1;;;;macro;25263;1
ARI_0004_C01_309_h2;5;10.18013889;36.91927778;outdoor;755;90;;;4G;10003;755;605;1;;;;macro;2981;1
ARI_0004_C01_309_h3;6;10.18013889;36.91927778;outdoor;755;180;;;4G;10003;755;605;1;;;;macro;1225;1
ARI_0004_C01_309_j1;104;10.18013889;36.91927778;outdoor;755;0;;;4G;10003;755;605;1;;;;macro;25263;1
ARI_0004_C01_309_j2;105;10.18013889;36.91927778;outdoor;755;90;;;4G;10003;755;605;1;;;;macro;2981;1
ARI_0004_C01_309_j3;106;10.18013889;36.91927778;outdoor;755;180;;;4G;10003;755;605;1;;;;macro;1225;1
ARI_0004_C01_309_l1;7;10.18013889;36.91927778;outdoor;755;0;;;4G;10003;755;605;1;;;;macro;623;1
ARI_0004_C01_309_l2;8;10.18013889;36.91927778;outdoor;755;90;;;4G;10003;755;605;1;;;;macro;382;1
ARI_0004_C01_309_l3;9;10.18013889;36.91927778;outdoor;755;180;;;4G;10003;755;605;1;;;;macro;651;1
ARI_0005_C02_309_f1;1;10.21615556;36.88750278;outdoor;756;30;;;4G;10003;756;605;1;;;;macro;-;1
ARI_0005_C02_309_f2;2;10.21615556;36.88750278;outdoor;756;150;;;4G;10003;756;605;1;;;;macro;620;1
ARI_0005_C02_309_f3;3;10.21615556;36.88750278;outdoor;756;270;;;4G;10003;756;605;1;;;;macro;1458;1
ARI_0005_C02_309_h1;4;10.21615556;36.88750278;outdoor;756;30;;;4G;10003;756;605;1;;;;macro;685;1
ARI_0005_C02_309_h2;5;10.21615556;36.88750278;outdoor;756;150;;;4G;10003;756;605;1;;;;macro;620;1
ARI_0005_C02_309_h3;6;10.21615556;36.88750278;outdoor;756;270;;;4G;10003;756;605;1;;;;macro;1458;1
ARI_0005_C02_309_h4;14;10.21615556;36.88750278;outdoor;756;310;;;4G;10003;756;605;1;;;;macro;6248;1
ARI_0005_C02_309_j1;104;10.21615556;36.88750278;outdoor;756;30;;;4G;10003;756;605;1;;;;macro;685;1
ARI_0005_C02_309_j2;105;10.21615556;36.88750278;outdoor;756;150;;;4G;10003;756;605;1;;;;macro;620;1
