CellName;Cell_ID;BSC;BSC_ID;Latitude_Sector;Longitude_Sector;CoverageType;Sector;SiteID;Market;Azimuth;HorizBeamwidth;VertBeamwidth;Technology;LAC;SAC;eNodeBID;Downtilt;Electrical_DownTilt;mcc;mnc;RF_Solution;expected_cell_range;antenna_id
ARI_0002_C01_309_u4;7534;TN2RNC1;111;36.8782739;10.11469695;outdoor;1;753;;10;;;3G;10014;15034;;;;605;1;macro;28951;1
ARI_0002_C01_309_u5;7535;TN2RNC1;111;36.8782739;10.11469695;outdoor;2;753;;170;;;3G;10014;15035;;;;605;1;macro;716;1
ARI_0002_C01_309_u6;7536;TN2RNC1;111;36.8782739;10.11469695;outdoor;3;753;;270;;;3G;10014;15036;;;;605;1;macro;722;1
ARI_0002_C01_309_v7;7537;TN2RNC1;111;36.8782739;10.11469695;outdoor;1;753;;10;;;3G;10014;15037;;;;605;1;macro;1302;1
ARI_0002_C01_309_v8;7538;TN2RNC1;111;36.8782739;10.11469695;outdoor;2;753;;170;;;3G;10014;15038;;;;605;1;macro;716;1
ARI_0002_C01_309_v9;7539;TN2RNC1;111;36.8782739;10.11469695;outdoor;3;753;;270;;;3G;10014;15039;;;;605;1;macro;722;1
ARI_0003_C01_309_q4;10004;TN2RNC1;111;36.89404;10.16641;outdoor;4;754;;70;;;3G;10016;17504;;;;605;1;macro;2915;1
ARI_0003_C01_309_r7;10007;TN2RNC1;111;36.89404;10.16641;outdoor;4;754;;70;;;3G;10016;17507;;;;605;1;macro;2915;1
ARI_0003_C01_309_u4;7544;TN2RNC1;111;36.89404;10.16641;outdoor;1;754;;160;;;3G;10016;15044;;;;605;1;macro;630;1
ARI_0003_C01_309_u5;7545;TN2RNC1;111;36.89404;10.16641;outdoor;2;754;;250;;;3G;10016;15045;;;;605;1;macro;550;1
ARI_0003_C01_309_u6;7546;TN2RNC1;111;36.89404;10.16641;outdoor;3;754;;340;;;3G;10016;15046;;;;605;1;macro;712;1
ARI_0003_C01_309_v7;7547;TN2RNC1;111;36.89404;10.16641;outdoor;1;754;;160;;;3G;10016;15047;;;;605;1;macro;630;1
ARI_0003_C01_309_v8;7548;TN2RNC1;111;36.89404;10.16641;outdoor;2;754;;250;;;3G;10016;15048;;;;605;1;macro;231;1
ARI_0003_C01_309_v9;7549;TN2RNC1;111;36.89404;10.16641;outdoor;3;754;;340;;;3G;10016;15049;;;;605;1;macro;250;1
ARI_0004_C01_309_u4;7554;TN1RNC1;1;36.91927778;10.18013889;outdoor;1;755;;0;;;3G;10003;15054;;;;605;1;macro;25263;1
